plate_id,ctrl_type,value_raw
PLT-A-PBM-TNF-ctrl,neg,102.5
PLT-A-PBM-TNF-ctrl,pos,10.51
PLT-A-PBM-TNF-ctrl,pos,10.59
PLT-A-PBM-TNF-ctrl,pos,10.27
PLT-A-PBM-TNF-ctrl,pos,8.57
PLT-A-PBM-TNF-ctrl,pos,10.07
PLT-A-PBM-TNF-ctrl,pos,9.56
PLT-A-PBM-TNF-ctrl,pos,8.98
PLT-A-PBM-C3a-ctrl,neg,100.73
PLT-A-PBM-C3a-ctrl,neg,106.36
PLT-A-PBM-C3a-ctrl,neg,101.7
PLT-A-PBM-C3a-ctrl,neg,98.59
PLT-A-PBM-C3a-ctrl,neg,101.94
PLT-A-PBM-C3a-ctrl,neg,99.28
PLT-A-PBM-C3a-ctrl,neg,99.02
PLT-A-PBM-C3a-ctrl,neg,101.82
PLT-A-PBM-C3a-ctrl,pos,10.02
PLT-A-PBM-C3a-ctrl,pos,10.22
PLT-A-PBM-C3a-ctrl,pos,10.01
PLT-A-PBM-C3a-ctrl,pos,10.27
PLT-A-PBM-C3a-ctrl,pos,10.34
PLT-A-PBM-C3a-ctrl,pos,8.45
PLT-A-PBM-C3a-ctrl,pos,10.53
PLT-A-PBM-C3a-ctrl,pos,9.21
PLT-A-PBM-C5a-ctrl,neg,99.82
PLT-A-PBM-C5a-ctrl,neg,101.88
PLT-A-PBM-C5a-ctrl,neg,101.73
PLT-A-PBM-C5a-ctrl,neg,100.42
PLT-A-PBM-C5a-ctrl,neg,101.77
PLT-A-PBM-C5a-ctrl,neg,100.98
PLT-A-PBM-C5a-ctrl,neg,102.4
PLT-A-PBM-C5a-ctrl,neg,100.58
PLT-A-PBM-C5a-ctrl,pos,9.72
PLT-A-PBM-C5a-ctrl,pos,10.27
PLT-A-PBM-C5a-ctrl,pos,7.66
PLT-A-PBM-C5a-ctrl,pos,10.31
PLT-A-PBM-C5a-ctrl,pos,7.08
PLT-A-PBM-C5a-ctrl,pos,8.62
PLT-A-PBM-C5a-ctrl,pos,10.36
PLT-A-PBM-C5a-ctrl,pos,10.38
PLT-A-PBM-TLR-ctrl,neg,102.09
PLT-A-PBM-TLR-ctrl,neg,102.38
PLT-A-PBM-TLR-ctrl,neg,100.41
PLT-A-PBM-TLR-ctrl,neg,99.0
PLT-A-PBM-TLR-ctrl,neg,100.97
PLT-A-PBM-TLR-ctrl,neg,98.94
PLT-A-PBM-TLR-ctrl,neg,100.0
PLT-A-PBM-TLR-ctrl,neg,101.97
PLT-A-PBM-TLR-ctrl,pos,9.55
PLT-A-PBM-TLR-ctrl,pos,10.64
PLT-A-PBM-TLR-ctrl,pos,10.54
PLT-A-PBM-TLR-ctrl,pos,9.24
PLT-A-PBM-TLR-ctrl,pos,10.78
PLT-A-PBM-TLR-ctrl,pos,10.56
PLT-A-PBM-TLR-ctrl,pos,10.08
PLT-A-PBM-TLR-ctrl,pos,9.39
PLT-B-PHH-Cel-ctrl,neg,100.01
PLT-B-PHH-Cel-ctrl,neg,98.5
PLT-B-PHH-Cel-ctrl,neg,99.53
PLT-B-PHH-Cel-ctrl,neg,99.63
PLT-B-PHH-Cel-ctrl,neg,99.46
PLT-B-PHH-Cel-ctrl,neg,103.54
PLT-B-PHH-Cel-ctrl,neg,99.8
PLT-B-PHH-Cel-ctrl,neg,99.51
PLT-B-PHH-Cel-ctrl,pos,8.32
PLT-B-PHH-Cel-ctrl,pos,9.28
PLT-B-PHH-Cel-ctrl,pos,9.79
PLT-B-PHH-Cel-ctrl,pos,9.45
PLT-B-PHH-Cel-ctrl,pos,11.11
PLT-B-PHH-Cel-ctrl,pos,9.87
PLT-B-PHH-Cel-ctrl,pos,11.03
PLT-B-PHH-Cel-ctrl,pos,10.05
PLT-B-PHH-LDH-ctrl,neg,98.57
PLT-B-PHH-LDH-ctrl,neg,94.7
PLT-B-PHH-LDH-ctrl,neg,97.24
PLT-B-PHH-LDH-ctrl,neg,96.38
PLT-B-PHH-LDH-ctrl,neg,95.5
PLT-B-PHH-LDH-ctrl,neg,97.61
PLT-B-PHH-LDH-ctrl,neg,102.65
PLT-B-PHH-LDH-ctrl,neg,99.91
PLT-B-PHH-LDH-ctrl,pos,11.03
PLT-B-PHH-LDH-ctrl,pos,10.33
PLT-B-PHH-LDH-ctrl,pos,10.63
PLT-B-PHH-LDH-ctrl,pos,9.28
PLT-B-PHH-LDH-ctrl,pos,10.42
PLT-B-PHH-LDH-ctrl,pos,10.58
PLT-B-PHH-LDH-ctrl,pos,9.54
PLT-B-PHH-LDH-ctrl,pos,10.45
PLT-B-PHH-ALT-ctrl,neg,95.04
PLT-B-PHH-ALT-ctrl,neg,98.01
PLT-B-PHH-ALT-ctrl,neg,102.47
PLT-B-PHH-ALT-ctrl,neg,94.44
PLT-B-PHH-ALT-ctrl,neg,99.3
PLT-B-PHH-ALT-ctrl,neg,97.64
PLT-B-PHH-ALT-ctrl,neg,101.61
PLT-B-PHH-ALT-ctrl,neg,98.65
PLT-B-PHH-ALT-ctrl,pos,10.32
PLT-B-PHH-ALT-ctrl,pos,10.45
PLT-B-PHH-ALT-ctrl,pos,11.47
PLT-B-PHH-ALT-ctrl,pos,9.84
PLT-B-PHH-ALT-ctrl,pos,10.3
PLT-B-PHH-ALT-ctrl,pos,8.81
PLT-B-PHH-ALT-ctrl,pos,10.95
PLT-B-PHH-ALT-ctrl,pos,9.39
PLT-B-PHH-Cas-ctrl,neg,99.64
PLT-B-PHH-Cas-ctrl,neg,101.15
PLT-B-PHH-Cas-ctrl,neg,97.18
PLT-B-PHH-Cas-ctrl,neg,102.37
PLT-B-PHH-Cas-ctrl,neg,99.35
PLT-B-PHH-Cas-ctrl,neg,99.59
PLT-B-PHH-Cas-ctrl,neg,99.02
PLT-B-PHH-Cas-ctrl,neg,98.84
PLT-B-PHH-Cas-ctrl,pos,10.56
PLT-B-PHH-Cas-ctrl,pos,10.2
PLT-B-PHH-Cas-ctrl,pos,10.52
PLT-B-PHH-Cas-ctrl,pos,9.99
PLT-B-PHH-Cas-ctrl,pos,10.41
PLT-B-PHH-Cas-ctrl,pos,9.66
PLT-B-PHH-Cas-ctrl,pos,11.78
PLT-B-PHH-Cas-ctrl,pos,8.75
PLT-B-PBM-IFN-ctrl,neg,100.36
PLT-B-PBM-IFN-ctrl,neg,98.77
PLT-B-PBM-IFN-ctrl,neg,99.95
PLT-B-PBM-IFN-ctrl,neg,98.75
PLT-B-PBM-IFN-ctrl,neg,97.86
PLT-B-PBM-IFN-ctrl,neg,99.29
PLT-B-PBM-IFN-ctrl,neg,97.79
PLT-B-PBM-IFN-ctrl,neg,100.65
PLT-B-PBM-IFN-ctrl,pos,9.08
PLT-B-PBM-IFN-ctrl,pos,10.57
PLT-B-PBM-IFN-ctrl,pos,9.05
PLT-B-PBM-IFN-ctrl,pos,9.55
PLT-B-PBM-IFN-ctrl,pos,9.5
PLT-B-PBM-IFN-ctrl,pos,11.06
PLT-B-PBM-IFN-ctrl,pos,10.26
PLT-B-PBM-IFN-ctrl,pos,9.83
PLT-B-PBM-IL6-ctrl,neg,99.69
PLT-B-PBM-IL6-ctrl,neg,101.1
PLT-B-PBM-IL6-ctrl,neg,98.59
PLT-B-PBM-IL6-ctrl,neg,99.76
PLT-B-PBM-IL6-ctrl,neg,96.76
PLT-B-PBM-IL6-ctrl,neg,95.31
PLT-B-PBM-IL6-ctrl,neg,101.89
PLT-B-PBM-IL6-ctrl,neg,98.03
PLT-B-PBM-IL6-ctrl,pos,9.64
PLT-B-PBM-IL6-ctrl,pos,8.89
PLT-B-PBM-IL6-ctrl,pos,8.87
PLT-B-PBM-IL6-ctrl,pos,9.86
PLT-B-PBM-IL6-ctrl,pos,9.42
PLT-B-PBM-IL6-ctrl,pos,10.3
PLT-B-PBM-IL6-ctrl,pos,10.36
PLT-B-PBM-IL6-ctrl,pos,10.26
PLT-B-PBM-TNF-ctrl,neg,100.9
PLT-B-PBM-TNF-ctrl,neg,99.55
PLT-B-PBM-TNF-ctrl,neg,96.77
PLT-B-PBM-TNF-ctrl,neg,101.98
PLT-B-PBM-TNF-ctrl,neg,100.73
PLT-B-PBM-TNF-ctrl,neg,98.55
PLT-B-PBM-TNF-ctrl,neg,99.44
PLT-B-PBM-TNF-ctrl,neg,97.0
PLT-B-PBM-TNF-ctrl,pos,9.18
PLT-B-PBM-TNF-ctrl,pos,9.57
PLT-B-PBM-TNF-ctrl,pos,10.98
PLT-B-PBM-TNF-ctrl,pos,9.49
PLT-B-PBM-TNF-ctrl,pos,10.51
PLT-B-PBM-TNF-ctrl,pos,10.2
PLT-B-PBM-TNF-ctrl,pos,9.89
PLT-B-PBM-C3a-ctrl,neg,97.9
PLT-B-PBM-C3a-ctrl,neg,99.71
PLT-B-PBM-C3a-ctrl,neg,97.57
PLT-B-PBM-C3a-ctrl,neg,101.68
PLT-B-PBM-C3a-ctrl,neg,98.16
PLT-B-PBM-C3a-ctrl,neg,105.62
PLT-B-PBM-C3a-ctrl,neg,99.1
PLT-B-PBM-C3a-ctrl,neg,100.14
PLT-B-PBM-C3a-ctrl,pos,8.96
PLT-B-PBM-C3a-ctrl,pos,11.36
PLT-B-PBM-C3a-ctrl,pos,10.9
PLT-B-PBM-C3a-ctrl,pos,10.24
PLT-B-PBM-C3a-ctrl,pos,8.92
PLT-B-PBM-C3a-ctrl,pos,10.17
PLT-B-PBM-C3a-ctrl,pos,9.1
PLT-B-PBM-C3a-ctrl,pos,11.17
PLT-B-PBM-C5a-ctrl,neg,99.66
PLT-B-PBM-C5a-ctrl,neg,102.09
PLT-B-PBM-C5a-ctrl,neg,100.79
PLT-B-PBM-C5a-ctrl,neg,97.21
PLT-B-PBM-C5a-ctrl,neg,101.31
PLT-B-PBM-C5a-ctrl,neg,97.83
PLT-B-PBM-C5a-ctrl,neg,102.83
PLT-B-PBM-C5a-ctrl,neg,102.05
PLT-B-PBM-C5a-ctrl,pos,10.23
PLT-B-PBM-C5a-ctrl,pos,10.13
PLT-B-PBM-C5a-ctrl,pos,9.83
PLT-B-PBM-C5a-ctrl,pos,10.54
PLT-B-PBM-C5a-ctrl,pos,9.7
PLT-B-PBM-C5a-ctrl,pos,10.19
PLT-B-PBM-C5a-ctrl,pos,10.7
PLT-B-PBM-C5a-ctrl,pos,9.55
PLT-B-PBM-TLR-ctrl,neg,98.26
PLT-B-PBM-TLR-ctrl,neg,104.0
PLT-B-PBM-TLR-ctrl,neg,100.11
PLT-B-PBM-TLR-ctrl,neg,100.49
PLT-B-PBM-TLR-ctrl,neg,96.45
PLT-B-PBM-TLR-ctrl,neg,98.69
PLT-B-PBM-TLR-ctrl,neg,100.43
PLT-B-PBM-TLR-ctrl,neg,97.95
PLT-B-PBM-TLR-ctrl,pos,10.73
PLT-B-PBM-TLR-ctrl,pos,9.04
PLT-B-PBM-TLR-ctrl,pos,9.77
PLT-B-PBM-TLR-ctrl,pos,9.53
PLT-B-PBM-TLR-ctrl,pos,10.13
PLT-B-PBM-TLR-ctrl,pos,9.49
PLT-B-PBM-TLR-ctrl,pos,9.78
PLT-B-PBM-TLR-ctrl,pos,9.81
PLT-C-PHH-Cel-ctrl,neg,101.85
PLT-C-PHH-Cel-ctrl,neg,101.32
PLT-C-PHH-Cel-ctrl,neg,103.83
PLT-C-PHH-Cel-ctrl,neg,98.47
PLT-C-PHH-Cel-ctrl,neg,97.24
PLT-C-PHH-Cel-ctrl,neg,98.01
PLT-C-PHH-Cel-ctrl,neg,101.0
PLT-C-PHH-Cel-ctrl,pos,10.08
PLT-C-PHH-Cel-ctrl,pos,9.1
PLT-C-PHH-Cel-ctrl,pos,10.61
PLT-C-PHH-Cel-ctrl,pos,9.02
PLT-C-PHH-Cel-ctrl,pos,10.93
PLT-C-PHH-Cel-ctrl,pos,12.29
PLT-C-PHH-Cel-ctrl,pos,10.29
PLT-C-PHH-Cel-ctrl,pos,10.47
PLT-C-PHH-LDH-ctrl,neg,99.24
PLT-C-PHH-LDH-ctrl,neg,100.65
PLT-C-PHH-LDH-ctrl,neg,98.4
PLT-C-PHH-LDH-ctrl,neg,99.3
PLT-C-PHH-LDH-ctrl,neg,100.5
PLT-C-PHH-LDH-ctrl,neg,101.69
PLT-C-PHH-LDH-ctrl,neg,100.64
PLT-C-PHH-LDH-ctrl,neg,102.52
PLT-C-PHH-LDH-ctrl,pos,9.92
PLT-C-PHH-LDH-ctrl,pos,9.73
PLT-C-PHH-LDH-ctrl,pos,12.16
PLT-C-PHH-LDH-ctrl,pos,10.32
PLT-C-PHH-LDH-ctrl,pos,9.42
PLT-C-PHH-LDH-ctrl,pos,9.44
PLT-C-PHH-LDH-ctrl,pos,9.25
PLT-C-PHH-LDH-ctrl,pos,10.75
PLT-C-PHH-ALT-ctrl,neg,97.8
PLT-C-PHH-ALT-ctrl,neg,100.47
PLT-C-PHH-ALT-ctrl,neg,100.3
PLT-C-PHH-ALT-ctrl,neg,101.16
PLT-C-PHH-ALT-ctrl,neg,104.37
PLT-C-PHH-ALT-ctrl,neg,100.55
PLT-C-PHH-ALT-ctrl,neg,100.97
PLT-C-PHH-ALT-ctrl,neg,97.84
PLT-C-PHH-ALT-ctrl,pos,8.97
PLT-C-PHH-ALT-ctrl,pos,11.27
PLT-C-PHH-ALT-ctrl,pos,9.26
PLT-C-PHH-ALT-ctrl,pos,9.16
PLT-C-PHH-ALT-ctrl,pos,9.97
PLT-C-PHH-ALT-ctrl,pos,9.93
PLT-C-PHH-ALT-ctrl,pos,9.28
PLT-C-PHH-ALT-ctrl,pos,9.76
PLT-C-PHH-Cas-ctrl,neg,99.42
PLT-C-PHH-Cas-ctrl,neg,100.81
PLT-C-PHH-Cas-ctrl,neg,104.47
PLT-C-PHH-Cas-ctrl,neg,99.46
PLT-C-PHH-Cas-ctrl,neg,100.84
PLT-C-PHH-Cas-ctrl,neg,102.52
PLT-C-PHH-Cas-ctrl,neg,102.28
PLT-C-PHH-Cas-ctrl,neg,100.02
PLT-C-PHH-Cas-ctrl,pos,8.09
PLT-C-PHH-Cas-ctrl,pos,10.41
PLT-C-PHH-Cas-ctrl,pos,8.22
PLT-C-PHH-Cas-ctrl,pos,11.18
PLT-C-PHH-Cas-ctrl,pos,10.14
PLT-C-PHH-Cas-ctrl,pos,10.8
PLT-C-PHH-Cas-ctrl,pos,9.28
PLT-C-PHH-Cas-ctrl,pos,8.76
PLT-C-PBM-IFN-ctrl,neg,98.93
PLT-C-PBM-IFN-ctrl,neg,98.2
PLT-C-PBM-IFN-ctrl,neg,103.15
PLT-C-PBM-IFN-ctrl,neg,96.59
PLT-C-PBM-IFN-ctrl,neg,97.12
PLT-C-PBM-IFN-ctrl,neg,102.22
PLT-C-PBM-IFN-ctrl,neg,102.71
PLT-C-PBM-IFN-ctrl,neg,98.51
PLT-C-PBM-IFN-ctrl,pos,9.49
PLT-C-PBM-IFN-ctrl,pos,10.49
PLT-C-PBM-IFN-ctrl,pos,8.14
PLT-C-PBM-IFN-ctrl,pos,8.51
PLT-C-PBM-IFN-ctrl,pos,9.78
PLT-C-PBM-IFN-ctrl,pos,11.24
PLT-C-PBM-IFN-ctrl,pos,9.65
PLT-C-PBM-IFN-ctrl,pos,10.08
PLT-C-PBM-IL6-ctrl,neg,102.02
PLT-C-PBM-IL6-ctrl,neg,100.97
PLT-C-PBM-IL6-ctrl,neg,102.44
PLT-C-PBM-IL6-ctrl,neg,101.84
PLT-C-PBM-IL6-ctrl,neg,103.04
PLT-C-PBM-IL6-ctrl,neg,100.72
PLT-C-PBM-IL6-ctrl,neg,101.81
PLT-C-PBM-IL6-ctrl,neg,99.39
PLT-C-PBM-IL6-ctrl,pos,9.52
PLT-C-PBM-IL6-ctrl,pos,11.37
PLT-C-PBM-IL6-ctrl,pos,10.17
PLT-C-PBM-IL6-ctrl,pos,10.64
PLT-C-PBM-IL6-ctrl,pos,10.1
PLT-C-PBM-IL6-ctrl,pos,9.53
PLT-C-PBM-IL6-ctrl,pos,10.01
PLT-C-PBM-IL6-ctrl,pos,11.15
PLT-C-PBM-TNF-ctrl,neg,101.43
PLT-C-PBM-TNF-ctrl,neg,96.78
PLT-C-PBM-TNF-ctrl,neg,98.35
PLT-C-PBM-TNF-ctrl,neg,102.48
PLT-C-PBM-TNF-ctrl,neg,100.57
PLT-C-PBM-TNF-ctrl,neg,96.17
PLT-C-PBM-TNF-ctrl,neg,102.08
PLT-C-PBM-TNF-ctrl,neg,98.91
PLT-C-PBM-TNF-ctrl,pos,11.13
PLT-C-PBM-TNF-ctrl,pos,9.93
PLT-C-PBM-TNF-ctrl,pos,10.16
PLT-C-PBM-TNF-ctrl,pos,10.94
PLT-C-PBM-TNF-ctrl,pos,9.28
PLT-C-PBM-TNF-ctrl,pos,9.21
PLT-C-PBM-TNF-ctrl,pos,9.84
PLT-C-PBM-TNF-ctrl,pos,10.66
PLT-C-PBM-C3a-ctrl,neg,96.49
PLT-C-PBM-C3a-ctrl,neg,99.52
PLT-C-PBM-C3a-ctrl,neg,102.57
PLT-C-PBM-C3a-ctrl,neg,96.18
PLT-C-PBM-C3a-ctrl,neg,97.44
PLT-C-PBM-C3a-ctrl,neg,97.94
PLT-C-PBM-C3a-ctrl,neg,99.87
PLT-C-PBM-C3a-ctrl,neg,99.27
PLT-C-PBM-C3a-ctrl,pos,11.12
PLT-C-PBM-C3a-ctrl,pos,10.76
PLT-C-PBM-C3a-ctrl,pos,10.4
PLT-C-PBM-C3a-ctrl,pos,10.12
PLT-C-PBM-C3a-ctrl,pos,10.31
PLT-C-PBM-C3a-ctrl,pos,9.31
PLT-C-PBM-C3a-ctrl,pos,10.69
PLT-C-PBM-C3a-ctrl,pos,9.11
PLT-C-PBM-C5a-ctrl,neg,97.98
PLT-C-PBM-C5a-ctrl,neg,103.01
PLT-C-PBM-C5a-ctrl,neg,98.68
PLT-C-PBM-C5a-ctrl,neg,101.0
PLT-C-PBM-C5a-ctrl,neg,102.13
PLT-C-PBM-C5a-ctrl,neg,100.77
PLT-C-PBM-C5a-ctrl,neg,100.19
PLT-C-PBM-C5a-ctrl,neg,100.02
PLT-C-PBM-C5a-ctrl,pos,9.95
PLT-C-PBM-C5a-ctrl,pos,9.54
PLT-C-PBM-C5a-ctrl,pos,9.64
PLT-C-PBM-C5a-ctrl,pos,11.18
PLT-C-PBM-C5a-ctrl,pos,9.91
PLT-C-PBM-C5a-ctrl,pos,9.37
PLT-C-PBM-C5a-ctrl,pos,9.59
PLT-C-PBM-C5a-ctrl,pos,10.88
PLT-C-PBM-TLR-ctrl,neg,98.64
PLT-C-PBM-TLR-ctrl,neg,97.85
PLT-C-PBM-TLR-ctrl,neg,96.21
PLT-C-PBM-TLR-ctrl,neg,100.23
PLT-C-PBM-TLR-ctrl,neg,95.51
PLT-C-PBM-TLR-ctrl,neg,97.36
PLT-C-PBM-TLR-ctrl,neg,98.93
PLT-C-PBM-TLR-ctrl,neg,98.34
PLT-C-PBM-TLR-ctrl,pos,10.32
PLT-C-PBM-TLR-ctrl,pos,10.24
PLT-C-PBM-TLR-ctrl,pos,10.72
PLT-C-PBM-TLR-ctrl,pos,10.6
PLT-C-PBM-TLR-ctrl,pos,10.91
PLT-C-PBM-TLR-ctrl,pos,10.0
PLT-C-PBM-TLR-ctrl,pos,10.41
PLT-D-PHH-Cel-ctrl,neg,98.53
PLT-D-PHH-Cel-ctrl,neg,100.06
PLT-D-PHH-Cel-ctrl,neg,96.8
PLT-D-PHH-Cel-ctrl,neg,102.82
PLT-D-PHH-Cel-ctrl,neg,98.64
PLT-D-PHH-Cel-ctrl,neg,104.06
PLT-D-PHH-Cel-ctrl,neg,99.94
PLT-D-PHH-Cel-ctrl,neg,102.06
PLT-D-PHH-Cel-ctrl,pos,9.96
PLT-D-PHH-Cel-ctrl,pos,9.98
PLT-D-PHH-Cel-ctrl,pos,9.53
PLT-D-PHH-Cel-ctrl,pos,10.1
PLT-D-PHH-Cel-ctrl,pos,10.25
PLT-D-PHH-Cel-ctrl,pos,9.37
PLT-D-PHH-Cel-ctrl,pos,9.9
PLT-D-PHH-Cel-ctrl,pos,9.51
PLT-D-PHH-LDH-ctrl,neg,97.72
PLT-D-PHH-LDH-ctrl,neg,99.12
PLT-D-PHH-LDH-ctrl,neg,99.05
PLT-D-PHH-LDH-ctrl,neg,98.66
PLT-D-PHH-LDH-ctrl,neg,99.37
PLT-D-PHH-LDH-ctrl,neg,102.36
PLT-D-PHH-LDH-ctrl,neg,100.4
PLT-D-PHH-LDH-ctrl,neg,104.94
PLT-D-PHH-LDH-ctrl,pos,10.14
PLT-D-PHH-LDH-ctrl,pos,9.77
PLT-D-PHH-LDH-ctrl,pos,10.0
PLT-D-PHH-LDH-ctrl,pos,10.21
PLT-D-PHH-LDH-ctrl,pos,10.35
PLT-D-PHH-LDH-ctrl,pos,11.66
PLT-D-PHH-LDH-ctrl,pos,9.32
PLT-D-PHH-LDH-ctrl,pos,10.69
PLT-D-PHH-ALT-ctrl,neg,99.77
PLT-D-PHH-ALT-ctrl,neg,103.55
PLT-D-PHH-ALT-ctrl,neg,100.48
PLT-D-PHH-ALT-ctrl,neg,100.54
PLT-D-PHH-ALT-ctrl,neg,98.18
PLT-D-PHH-ALT-ctrl,neg,100.84
PLT-D-PHH-ALT-ctrl,neg,99.73
PLT-D-PHH-ALT-ctrl,neg,98.78
PLT-D-PHH-ALT-ctrl,pos,9.38
PLT-D-PHH-ALT-ctrl,pos,12.14
PLT-D-PHH-ALT-ctrl,pos,9.79
PLT-D-PHH-ALT-ctrl,pos,8.83
PLT-D-PHH-ALT-ctrl,pos,9.44
PLT-D-PHH-ALT-ctrl,pos,9.96
PLT-D-PHH-ALT-ctrl,pos,10.44
PLT-D-PHH-Cas-ctrl,neg,97.7
PLT-D-PHH-Cas-ctrl,neg,102.23
PLT-D-PHH-Cas-ctrl,neg,98.29
PLT-D-PHH-Cas-ctrl,neg,100.52
PLT-D-PHH-Cas-ctrl,neg,100.97
PLT-D-PHH-Cas-ctrl,neg,100.67
PLT-D-PHH-Cas-ctrl,neg,98.31
PLT-D-PHH-Cas-ctrl,pos,8.92
PLT-D-PHH-Cas-ctrl,pos,10.7
PLT-D-PHH-Cas-ctrl,pos,10.15
PLT-D-PHH-Cas-ctrl,pos,10.92
PLT-D-PHH-Cas-ctrl,pos,9.96
PLT-D-PHH-Cas-ctrl,pos,8.88
PLT-D-PHH-Cas-ctrl,pos,10.77
PLT-D-PHH-Cas-ctrl,pos,9.7
