result_id,oligo_id,assay_system,endpoint,concentration_um,timepoint_h,replicate_bio,replicate_tech,batch_id,plate_id,cell_donor_id,value_raw,value_normalized,unit,plate_qc_pass,qc_flag,is_anchor
18,OT-00001,PHH,Cell_viability_ATPLite,1.0,24,3,2,BATCH-A,PLT-A-PHH-Cel-0010,DONOR-03,0.15,0.15,% vehicle ctrl,True,pass,1
19,OT-00001,PHH,Cell_viability_ATPLite,10.0,24,1,1,BATCH-A,PLT-A-PHH-Cel-0100,DONOR-01,5.423,5.423,% vehicle ctrl,True,pass,1
20,OT-00001,PHH,Cell_viability_ATPLite,10.0,24,1,2,BATCH-A,PLT-A-PHH-Cel-0100,DONOR-01,9.157,9.157,% vehicle ctrl,True,pass,1
21,OT-00001,PHH,Cell_viability_ATPLite,10.0,24,2,1,BATCH-A,PLT-A-PHH-Cel-0100,DONOR-02,7.806,7.806,% vehicle ctrl,True,pass,1
22,OT-00001,PHH,Cell_viability_ATPLite,10.0,24,2,2,BATCH-A,PLT-A-PHH-Cel-0100,DONOR-02,9.285,9.285,% vehicle ctrl,True,pass,1
23,OT-00001,PHH,Cell_viability_ATPLite,10.0,24,3,1,BATCH-A,PLT-A-PHH-Cel-0100,DONOR-03,4.245,4.245,% vehicle ctrl,True,pass,1
24,OT-00001,PHH,Cell_viability_ATPLite,10.0,24,3,2,BATCH-A,PLT-A-PHH-Cel-0100,DONOR-03,8.823,8.823,% vehicle ctrl,True,pass,1
25,OT-00001,PHH,Cell_viability_ATPLite,50.0,24,1,1,BATCH-A,PLT-A-PHH-Cel-0500,DONOR-01,32.256,32.256,% vehicle ctrl,True,pass,1
26,OT-00001,PHH,Cell_viability_ATPLite,50.0,24,1,2,BATCH-A,PLT-A-PHH-Cel-0500,DONOR-01,33.575,33.575,% vehicle ctrl,True,pass,1
27,OT-00001,PHH,Cell_viability_ATPLite,50.0,24,2,1,BATCH-A,PLT-A-PHH-Cel-0500,DONOR-02,32.244,32.244,% vehicle ctrl,True,pass,1
28,OT-00001,PHH,Cell_viability_ATPLite,50.0,24,2,2,BATCH-A,PLT-A-PHH-Cel-0500,DONOR-02,35.474,35.474,% vehicle ctrl,True,pass,1
29,OT-00001,PHH,Cell_viability_ATPLite,50.0,24,3,1,BATCH-A,PLT-A-PHH-Cel-0500,DONOR-03,36.593,36.593,% vehicle ctrl,True,pass,1
30,OT-00001,PHH,Cell_viability_ATPLite,50.0,24,3,2,BATCH-A,PLT-A-PHH-Cel-0500,DONOR-03,27.418,27.418,% vehicle ctrl,True,pass,1
31,OT-00001,PHH,Cell_viability_ATPLite,100.0,24,1,1,BATCH-A,PLT-A-PHH-Cel-1000,DONOR-01,42.188,42.188,% vehicle ctrl,True,pass,1
32,OT-00001,PHH,Cell_viability_ATPLite,100.0,24,1,2,BATCH-A,PLT-A-PHH-Cel-1000,DONOR-01,34.997,34.997,% vehicle ctrl,True,pass,1
33,OT-00001,PHH,Cell_viability_ATPLite,100.0,24,2,1,BATCH-A,PLT-A-PHH-Cel-1000,DONOR-02,39.31,39.31,% vehicle ctrl,True,pass,1
34,OT-00001,PHH,Cell_viability_ATPLite,100.0,24,2,2,BATCH-A,PLT-A-PHH-Cel-1000,DONOR-02,33.55,33.55,% vehicle ctrl,True,pass,1
35,OT-00001,PHH,Cell_viability_ATPLite,100.0,24,3,1,BATCH-A,PLT-A-PHH-Cel-1000,DONOR-03,34.618,34.618,% vehicle ctrl,True,pass,1
36,OT-00001,PHH,Cell_viability_ATPLite,100.0,24,3,2,BATCH-A,PLT-A-PHH-Cel-1000,DONOR-03,35.554,35.554,% vehicle ctrl,True,pass,1
37,OT-00001,PHH,LDH_release,0.01,24,1,1,BATCH-A,PLT-A-PHH-LDH-0000,DONOR-01,1.104,1.104,% vehicle ctrl,True,pass,1
38,OT-00001,PHH,LDH_release,0.01,24,1,2,BATCH-A,PLT-A-PHH-LDH-0000,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
39,OT-00001,PHH,LDH_release,0.01,24,2,1,BATCH-A,PLT-A-PHH-LDH-0000,DONOR-02,1.112,1.112,% vehicle ctrl,True,pass,1
40,OT-00001,PHH,LDH_release,0.01,24,2,2,BATCH-A,PLT-A-PHH-LDH-0000,DONOR-02,5.902,5.902,% vehicle ctrl,True,pass,1
41,OT-00001,PHH,LDH_release,0.01,24,3,1,BATCH-A,PLT-A-PHH-LDH-0000,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
42,OT-00001,PHH,LDH_release,0.01,24,3,2,BATCH-A,PLT-A-PHH-LDH-0000,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
43,OT-00001,PHH,LDH_release,0.1,24,1,1,BATCH-A,PLT-A-PHH-LDH-0001,DONOR-01,3.933,3.933,% vehicle ctrl,True,pass,1
44,OT-00001,PHH,LDH_release,0.1,24,1,2,BATCH-A,PLT-A-PHH-LDH-0001,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
45,OT-00001,PHH,LDH_release,0.1,24,2,1,BATCH-A,PLT-A-PHH-LDH-0001,DONOR-02,0.0,0.0,% vehicle ctrl,True,pass,1
46,OT-00001,PHH,LDH_release,0.1,24,2,2,BATCH-A,PLT-A-PHH-LDH-0001,DONOR-02,0.0,0.0,% vehicle ctrl,True,pass,1
47,OT-00001,PHH,LDH_release,0.1,24,3,1,BATCH-A,PLT-A-PHH-LDH-0001,DONOR-03,0.087,0.087,% vehicle ctrl,True,pass,1
48,OT-00001,PHH,LDH_release,0.1,24,3,2,BATCH-A,PLT-A-PHH-LDH-0001,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
49,OT-00001,PHH,LDH_release,1.0,24,1,1,BATCH-A,PLT-A-PHH-LDH-0010,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
50,OT-00001,PHH,LDH_release,1.0,24,1,2,BATCH-A,PLT-A-PHH-LDH-0010,DONOR-01,6.239,6.239,% vehicle ctrl,True,pass,1
51,OT-00001,PHH,LDH_release,1.0,24,2,1,BATCH-A,PLT-A-PHH-LDH-0010,DONOR-02,0.0,0.0,% vehicle ctrl,True,pass,1
52,OT-00001,PHH,LDH_release,1.0,24,2,2,BATCH-A,PLT-A-PHH-LDH-0010,DONOR-02,1.45,1.45,% vehicle ctrl,True,pass,1
53,OT-00001,PHH,LDH_release,1.0,24,3,1,BATCH-A,PLT-A-PHH-LDH-0010,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
54,OT-00001,PHH,LDH_release,1.0,24,3,2,BATCH-A,PLT-A-PHH-LDH-0010,DONOR-03,2.732,2.732,% vehicle ctrl,True,pass,1
55,OT-00001,PHH,LDH_release,10.0,24,1,1,BATCH-A,PLT-A-PHH-LDH-0100,DONOR-01,1.378,1.378,% vehicle ctrl,True,pass,1
56,OT-00001,PHH,LDH_release,10.0,24,1,2,BATCH-A,PLT-A-PHH-LDH-0100,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
57,OT-00001,PHH,LDH_release,10.0,24,2,1,BATCH-A,PLT-A-PHH-LDH-0100,DONOR-02,1.719,1.719,% vehicle ctrl,True,pass,1
58,OT-00001,PHH,LDH_release,10.0,24,2,2,BATCH-A,PLT-A-PHH-LDH-0100,DONOR-02,0.852,0.852,% vehicle ctrl,True,pass,1
59,OT-00001,PHH,LDH_release,10.0,24,3,1,BATCH-A,PLT-A-PHH-LDH-0100,DONOR-03,5.566,5.566,% vehicle ctrl,True,pass,1
60,OT-00001,PHH,LDH_release,10.0,24,3,2,BATCH-A,PLT-A-PHH-LDH-0100,DONOR-03,3.569,3.569,% vehicle ctrl,True,pass,1
61,OT-00001,PHH,LDH_release,50.0,24,1,1,BATCH-A,PLT-A-PHH-LDH-0500,DONOR-01,40.106,40.106,% vehicle ctrl,True,pass,1
62,OT-00001,PHH,LDH_release,50.0,24,1,2,BATCH-A,PLT-A-PHH-LDH-0500,DONOR-01,41.557,41.557,% vehicle ctrl,True,pass,1
63,OT-00001,PHH,LDH_release,50.0,24,2,1,BATCH-A,PLT-A-PHH-LDH-0500,DONOR-02,48.47,48.47,% vehicle ctrl,True,pass,1
64,OT-00001,PHH,LDH_release,50.0,24,2,2,BATCH-A,PLT-A-PHH-LDH-0500,DONOR-02,41.212,41.212,% vehicle ctrl,True,pass,1
65,OT-00001,PHH,LDH_release,50.0,24,3,1,BATCH-A,PLT-A-PHH-LDH-0500,DONOR-03,38.252,38.252,% vehicle ctrl,True,pass,1
66,OT-00001,PHH,LDH_release,50.0,24,3,2,BATCH-A,PLT-A-PHH-LDH-0500,DONOR-03,41.877,41.877,% vehicle ctrl,True,pass,1
67,OT-00001,PHH,LDH_release,100.0,24,1,1,BATCH-A,PLT-A-PHH-LDH-1000,DONOR-01,44.061,44.061,% vehicle ctrl,True,pass,1
68,OT-00001,PHH,LDH_release,100.0,24,1,2,BATCH-A,PLT-A-PHH-LDH-1000,DONOR-01,48.753,48.753,% vehicle ctrl,True,pass,1
69,OT-00001,PHH,LDH_release,100.0,24,2,1,BATCH-A,PLT-A-PHH-LDH-1000,DONOR-02,47.319,47.319,% vehicle ctrl,True,pass,1
70,OT-00001,PHH,LDH_release,100.0,24,2,2,BATCH-A,PLT-A-PHH-LDH-1000,DONOR-02,48.359,48.359,% vehicle ctrl,True,pass,1
71,OT-00001,PHH,LDH_release,100.0,24,3,1,BATCH-A,PLT-A-PHH-LDH-1000,DONOR-03,47.932,47.932,% vehicle ctrl,True,pass,1
72,OT-00001,PHH,LDH_release,100.0,24,3,2,BATCH-A,PLT-A-PHH-LDH-1000,DONOR-03,50.404,50.404,% vehicle ctrl,True,pass,1
73,OT-00001,PHH,ALT_secretion,0.01,24,1,1,BATCH-A,PLT-A-PHH-ALT-0000,DONOR-01,14.28,14.28,% vehicle ctrl,True,pass,1
74,OT-00001,PHH,ALT_secretion,0.01,24,1,2,BATCH-A,PLT-A-PHH-ALT-0000,DONOR-01,11.854,11.854,% vehicle ctrl,True,pass,1
75,OT-00001,PHH,ALT_secretion,0.01,24,2,1,BATCH-A,PLT-A-PHH-ALT-0000,DONOR-02,10.849,10.849,% vehicle ctrl,True,pass,1
76,OT-00001,PHH,ALT_secretion,0.01,24,2,2,BATCH-A,PLT-A-PHH-ALT-0000,DONOR-02,9.338,9.338,% vehicle ctrl,True,pass,1
77,OT-00001,PHH,ALT_secretion,0.01,24,3,1,BATCH-A,PLT-A-PHH-ALT-0000,DONOR-03,12.445,12.445,% vehicle ctrl,True,pass,1
78,OT-00001,PHH,ALT_secretion,0.01,24,3,2,BATCH-A,PLT-A-PHH-ALT-0000,DONOR-03,15.537,15.537,% vehicle ctrl,True,pass,1
79,OT-00001,PHH,ALT_secretion,0.1,24,1,1,BATCH-A,PLT-A-PHH-ALT-0001,DONOR-01,14.459,14.459,% vehicle ctrl,True,pass,1
80,OT-00001,PHH,ALT_secretion,0.1,24,1,2,BATCH-A,PLT-A-PHH-ALT-0001,DONOR-01,12.238,12.238,% vehicle ctrl,True,pass,1
81,OT-00001,PHH,ALT_secretion,0.1,24,2,1,BATCH-A,PLT-A-PHH-ALT-0001,DONOR-02,11.517,11.517,% vehicle ctrl,True,pass,1
82,OT-00001,PHH,ALT_secretion,0.1,24,2,2,BATCH-A,PLT-A-PHH-ALT-0001,DONOR-02,14.438,14.438,% vehicle ctrl,True,pass,1
83,OT-00001,PHH,ALT_secretion,0.1,24,3,1,BATCH-A,PLT-A-PHH-ALT-0001,DONOR-03,9.694,9.694,% vehicle ctrl,True,pass,1
84,OT-00001,PHH,ALT_secretion,0.1,24,3,2,BATCH-A,PLT-A-PHH-ALT-0001,DONOR-03,8.958,8.958,% vehicle ctrl,True,pass,1
85,OT-00001,PHH,ALT_secretion,1.0,24,1,1,BATCH-A,PLT-A-PHH-ALT-0010,DONOR-01,14.023,14.023,% vehicle ctrl,True,pass,1
86,OT-00001,PHH,ALT_secretion,1.0,24,1,2,BATCH-A,PLT-A-PHH-ALT-0010,DONOR-01,13.939,13.939,% vehicle ctrl,True,pass,1
87,OT-00001,PHH,ALT_secretion,1.0,24,2,1,BATCH-A,PLT-A-PHH-ALT-0010,DONOR-02,13.7,13.7,% vehicle ctrl,True,pass,1
88,OT-00001,PHH,ALT_secretion,1.0,24,2,2,BATCH-A,PLT-A-PHH-ALT-0010,DONOR-02,14.469,14.469,% vehicle ctrl,True,pass,1
89,OT-00001,PHH,ALT_secretion,1.0,24,3,1,BATCH-A,PLT-A-PHH-ALT-0010,DONOR-03,6.5,6.5,% vehicle ctrl,True,pass,1
90,OT-00001,PHH,ALT_secretion,1.0,24,3,2,BATCH-A,PLT-A-PHH-ALT-0010,DONOR-03,14.087,14.087,% vehicle ctrl,True,pass,1
91,OT-00001,PHH,ALT_secretion,10.0,24,1,1,BATCH-A,PLT-A-PHH-ALT-0100,DONOR-01,20.659,20.659,% vehicle ctrl,True,pass,1
92,OT-00001,PHH,ALT_secretion,10.0,24,1,2,BATCH-A,PLT-A-PHH-ALT-0100,DONOR-01,18.408,18.408,% vehicle ctrl,True,pass,1
93,OT-00001,PHH,ALT_secretion,10.0,24,2,1,BATCH-A,PLT-A-PHH-ALT-0100,DONOR-02,18.921,18.921,% vehicle ctrl,True,pass,1
94,OT-00001,PHH,ALT_secretion,10.0,24,2,2,BATCH-A,PLT-A-PHH-ALT-0100,DONOR-02,16.857,16.857,% vehicle ctrl,True,pass,1
95,OT-00001,PHH,ALT_secretion,10.0,24,3,1,BATCH-A,PLT-A-PHH-ALT-0100,DONOR-03,16.602,16.602,% vehicle ctrl,True,pass,1
96,OT-00001,PHH,ALT_secretion,10.0,24,3,2,BATCH-A,PLT-A-PHH-ALT-0100,DONOR-03,15.59,15.59,% vehicle ctrl,True,pass,1
97,OT-00001,PHH,ALT_secretion,50.0,24,1,1,BATCH-A,PLT-A-PHH-ALT-0500,DONOR-01,42.359,42.359,% vehicle ctrl,True,pass,1
98,OT-00001,PHH,ALT_secretion,50.0,24,1,2,BATCH-A,PLT-A-PHH-ALT-0500,DONOR-01,37.102,37.102,% vehicle ctrl,True,pass,1
99,OT-00001,PHH,ALT_secretion,50.0,24,2,1,BATCH-A,PLT-A-PHH-ALT-0500,DONOR-02,44.153,44.153,% vehicle ctrl,True,pass,1
100,OT-00001,PHH,ALT_secretion,50.0,24,2,2,BATCH-A,PLT-A-PHH-ALT-0500,DONOR-02,38.057,38.057,% vehicle ctrl,True,pass,1
101,OT-00001,PHH,ALT_secretion,50.0,24,3,1,BATCH-A,PLT-A-PHH-ALT-0500,DONOR-03,42.913,42.913,% vehicle ctrl,True,pass,1
102,OT-00001,PHH,ALT_secretion,50.0,24,3,2,BATCH-A,PLT-A-PHH-ALT-0500,DONOR-03,45.124,45.124,% vehicle ctrl,True,pass,1
103,OT-00001,PHH,ALT_secretion,100.0,24,1,1,BATCH-A,PLT-A-PHH-ALT-1000,DONOR-01,51.903,51.903,% vehicle ctrl,True,pass,1
104,OT-00001,PHH,ALT_secretion,100.0,24,1,2,BATCH-A,PLT-A-PHH-ALT-1000,DONOR-01,55.56,55.56,% vehicle ctrl,True,pass,1
105,OT-00001,PHH,ALT_secretion,100.0,24,2,1,BATCH-A,PLT-A-PHH-ALT-1000,DONOR-02,44.191,44.191,% vehicle ctrl,True,pass,1
106,OT-00001,PHH,ALT_secretion,100.0,24,2,2,BATCH-A,PLT-A-PHH-ALT-1000,DONOR-02,47.535,47.535,% vehicle ctrl,True,pass,1
107,OT-00001,PHH,ALT_secretion,100.0,24,3,1,BATCH-A,PLT-A-PHH-ALT-1000,DONOR-03,51.071,51.071,% vehicle ctrl,True,pass,1
108,OT-00001,PHH,ALT_secretion,100.0,24,3,2,BATCH-A,PLT-A-PHH-ALT-1000,DONOR-03,43.631,43.631,% vehicle ctrl,True,pass,1
109,OT-00001,PHH,Caspase_3_7,0.01,24,1,1,BATCH-A,PLT-A-PHH-Cas-0000,DONOR-01,9.025,9.025,% vehicle ctrl,True,pass,1
110,OT-00001,PHH,Caspase_3_7,0.01,24,1,2,BATCH-A,PLT-A-PHH-Cas-0000,DONOR-01,11.851,11.851,% vehicle ctrl,True,pass,1
111,OT-00001,PHH,Caspase_3_7,0.01,24,2,1,BATCH-A,PLT-A-PHH-Cas-0000,DONOR-02,5.781,5.781,% vehicle ctrl,True,pass,1
112,OT-00001,PHH,Caspase_3_7,0.01,24,2,2,BATCH-A,PLT-A-PHH-Cas-0000,DONOR-02,2.805,2.805,% vehicle ctrl,True,pass,1
113,OT-00001,PHH,Caspase_3_7,0.01,24,3,1,BATCH-A,PLT-A-PHH-Cas-0000,DONOR-03,12.024,12.024,% vehicle ctrl,True,pass,1
114,OT-00001,PHH,Caspase_3_7,0.01,24,3,2,BATCH-A,PLT-A-PHH-Cas-0000,DONOR-03,10.667,10.667,% vehicle ctrl,True,pass,1
115,OT-00001,PHH,Caspase_3_7,0.1,24,1,1,BATCH-A,PLT-A-PHH-Cas-0001,DONOR-01,13.808,13.808,% vehicle ctrl,True,pass,1
116,OT-00001,PHH,Caspase_3_7,0.1,24,1,2,BATCH-A,PLT-A-PHH-Cas-0001,DONOR-01,13.93,13.93,% vehicle ctrl,True,pass,1
117,OT-00001,PHH,Caspase_3_7,0.1,24,2,1,BATCH-A,PLT-A-PHH-Cas-0001,DONOR-02,7.245,7.245,% vehicle ctrl,True,pass,1
118,OT-00001,PHH,Caspase_3_7,0.1,24,2,2,BATCH-A,PLT-A-PHH-Cas-0001,DONOR-02,5.307,5.307,% vehicle ctrl,True,pass,1
119,OT-00001,PHH,Caspase_3_7,0.1,24,3,1,BATCH-A,PLT-A-PHH-Cas-0001,DONOR-03,8.912,8.912,% vehicle ctrl,True,pass,1
120,OT-00001,PHH,Caspase_3_7,0.1,24,3,2,BATCH-A,PLT-A-PHH-Cas-0001,DONOR-03,14.597,14.597,% vehicle ctrl,True,pass,1
121,OT-00001,PHH,Caspase_3_7,1.0,24,1,1,BATCH-A,PLT-A-PHH-Cas-0010,DONOR-01,10.802,10.802,% vehicle ctrl,True,pass,1
122,OT-00001,PHH,Caspase_3_7,1.0,24,1,2,BATCH-A,PLT-A-PHH-Cas-0010,DONOR-01,11.245,11.245,% vehicle ctrl,True,pass,1
123,OT-00001,PHH,Caspase_3_7,1.0,24,2,1,BATCH-A,PLT-A-PHH-Cas-0010,DONOR-02,4.439,4.439,% vehicle ctrl,True,pass,1
124,OT-00001,PHH,Caspase_3_7,1.0,24,2,2,BATCH-A,PLT-A-PHH-Cas-0010,DONOR-02,7.95,7.95,% vehicle ctrl,True,pass,1
125,OT-00001,PHH,Caspase_3_7,1.0,24,3,1,BATCH-A,PLT-A-PHH-Cas-0010,DONOR-03,6.555,6.555,% vehicle ctrl,True,pass,1
126,OT-00001,PHH,Caspase_3_7,1.0,24,3,2,BATCH-A,PLT-A-PHH-Cas-0010,DONOR-03,11.092,11.092,% vehicle ctrl,True,pass,1
127,OT-00001,PHH,Caspase_3_7,10.0,24,1,1,BATCH-A,PLT-A-PHH-Cas-0100,DONOR-01,14.619,14.619,% vehicle ctrl,True,pass,1
128,OT-00001,PHH,Caspase_3_7,10.0,24,1,2,BATCH-A,PLT-A-PHH-Cas-0100,DONOR-01,17.371,17.371,% vehicle ctrl,True,pass,1
129,OT-00001,PHH,Caspase_3_7,10.0,24,2,1,BATCH-A,PLT-A-PHH-Cas-0100,DONOR-02,9.294,9.294,% vehicle ctrl,True,pass,1
130,OT-00001,PHH,Caspase_3_7,10.0,24,2,2,BATCH-A,PLT-A-PHH-Cas-0100,DONOR-02,12.816,12.816,% vehicle ctrl,True,pass,1
131,OT-00001,PHH,Caspase_3_7,10.0,24,3,1,BATCH-A,PLT-A-PHH-Cas-0100,DONOR-03,14.64,14.64,% vehicle ctrl,True,pass,1
132,OT-00001,PHH,Caspase_3_7,10.0,24,3,2,BATCH-A,PLT-A-PHH-Cas-0100,DONOR-03,15.154,15.154,% vehicle ctrl,True,pass,1
133,OT-00001,PHH,Caspase_3_7,50.0,24,1,1,BATCH-A,PLT-A-PHH-Cas-0500,DONOR-01,47.349,47.349,% vehicle ctrl,True,pass,1
134,OT-00001,PHH,Caspase_3_7,50.0,24,1,2,BATCH-A,PLT-A-PHH-Cas-0500,DONOR-01,42.437,42.437,% vehicle ctrl,True,pass,1
135,OT-00001,PHH,Caspase_3_7,50.0,24,2,1,BATCH-A,PLT-A-PHH-Cas-0500,DONOR-02,38.773,38.773,% vehicle ctrl,True,pass,1
136,OT-00001,PHH,Caspase_3_7,50.0,24,2,2,BATCH-A,PLT-A-PHH-Cas-0500,DONOR-02,41.233,41.233,% vehicle ctrl,True,pass,1
137,OT-00001,PHH,Caspase_3_7,50.0,24,3,1,BATCH-A,PLT-A-PHH-Cas-0500,DONOR-03,37.346,37.346,% vehicle ctrl,True,pass,1
138,OT-00001,PHH,Caspase_3_7,50.0,24,3,2,BATCH-A,PLT-A-PHH-Cas-0500,DONOR-03,34.064,34.064,% vehicle ctrl,True,pass,1
139,OT-00001,PHH,Caspase_3_7,100.0,24,1,1,BATCH-A,PLT-A-PHH-Cas-1000,DONOR-01,41.817,41.817,% vehicle ctrl,True,pass,1
140,OT-00001,PHH,Caspase_3_7,100.0,24,1,2,BATCH-A,PLT-A-PHH-Cas-1000,DONOR-01,50.352,50.352,% vehicle ctrl,True,pass,1
141,OT-00001,PHH,Caspase_3_7,100.0,24,2,1,BATCH-A,PLT-A-PHH-Cas-1000,DONOR-02,40.836,40.836,% vehicle ctrl,True,pass,1
142,OT-00001,PHH,Caspase_3_7,100.0,24,2,2,BATCH-A,PLT-A-PHH-Cas-1000,DONOR-02,41.978,41.978,% vehicle ctrl,True,pass,1
143,OT-00001,PHH,Caspase_3_7,100.0,24,3,1,BATCH-A,PLT-A-PHH-Cas-1000,DONOR-03,44.543,44.543,% vehicle ctrl,True,pass,1
144,OT-00001,PHH,Caspase_3_7,100.0,24,3,2,BATCH-A,PLT-A-PHH-Cas-1000,DONOR-03,43.334,43.334,% vehicle ctrl,True,pass,1
145,OT-00001,PBMC,IFNa,0.01,24,1,1,BATCH-A,PLT-A-PBM-IFN-0000,DONOR-01,9.738,9.738,% vehicle ctrl,True,pass,1
146,OT-00001,PBMC,IFNa,0.01,24,1,2,BATCH-A,PLT-A-PBM-IFN-0000,DONOR-01,6.84,6.84,% vehicle ctrl,True,pass,1
147,OT-00001,PBMC,IFNa,0.01,24,2,1,BATCH-A,PLT-A-PBM-IFN-0000,DONOR-02,13.629,13.629,% vehicle ctrl,True,pass,1
148,OT-00001,PBMC,IFNa,0.01,24,2,2,BATCH-A,PLT-A-PBM-IFN-0000,DONOR-02,6.251,6.251,% vehicle ctrl,True,pass,1
149,OT-00001,PBMC,IFNa,0.01,24,3,1,BATCH-A,PLT-A-PBM-IFN-0000,DONOR-03,9.982,9.982,% vehicle ctrl,True,pass,1
150,OT-00001,PBMC,IFNa,0.01,24,3,2,BATCH-A,PLT-A-PBM-IFN-0000,DONOR-03,12.307,12.307,% vehicle ctrl,True,pass,1
151,OT-00001,PBMC,IFNa,0.1,24,1,1,BATCH-A,PLT-A-PBM-IFN-0001,DONOR-01,12.159,12.159,% vehicle ctrl,True,pass,1
152,OT-00001,PBMC,IFNa,0.1,24,1,2,BATCH-A,PLT-A-PBM-IFN-0001,DONOR-01,10.278,10.278,% vehicle ctrl,True,pass,1
153,OT-00001,PBMC,IFNa,0.1,24,2,1,BATCH-A,PLT-A-PBM-IFN-0001,DONOR-02,11.065,11.065,% vehicle ctrl,True,pass,1
154,OT-00001,PBMC,IFNa,0.1,24,2,2,BATCH-A,PLT-A-PBM-IFN-0001,DONOR-02,12.348,12.348,% vehicle ctrl,True,pass,1
155,OT-00001,PBMC,IFNa,0.1,24,3,1,BATCH-A,PLT-A-PBM-IFN-0001,DONOR-03,9.249,9.249,% vehicle ctrl,True,pass,1
156,OT-00001,PBMC,IFNa,0.1,24,3,2,BATCH-A,PLT-A-PBM-IFN-0001,DONOR-03,15.728,15.728,% vehicle ctrl,True,pass,1
157,OT-00001,PBMC,IFNa,1.0,24,1,1,BATCH-A,PLT-A-PBM-IFN-0010,DONOR-01,9.003,9.003,% vehicle ctrl,True,pass,1
158,OT-00001,PBMC,IFNa,1.0,24,1,2,BATCH-A,PLT-A-PBM-IFN-0010,DONOR-01,11.163,11.163,% vehicle ctrl,True,pass,1
159,OT-00001,PBMC,IFNa,1.0,24,2,1,BATCH-A,PLT-A-PBM-IFN-0010,DONOR-02,10.399,10.399,% vehicle ctrl,True,pass,1
